book_id,ISBN,title,author,type,press,entey_time
8336,9787115382436,Git版本控制管理 第2版 ,[美]乔恩 罗力格 Jon Loeliger ;马修 麦卡洛 Matthew McCullough,4,人民邮电出版社,1538986683650
8337,9787115427861,Vim实用技巧,[英] Drew Neil,4,人民邮电出版社,1538986683650
8338,9787115427861,Vim实用技巧,[英] Drew Neil,4,人民邮电出版社,1538986683650
8339,9787115366603,正则表达式经典实例 第2版 ,[美]简.高瓦特斯 Jan Goyvaerts ;[美]史蒂文.莱文森 Steven Levithan,4,人民邮电出版社,1538986683650
8340,9787115366603,正则表达式经典实例 第2版 ,[美]简.高瓦特斯 Jan Goyvaerts ;[美]史蒂文.莱文森 Steven Levithan,4,人民邮电出版社,1538986683650
8341,9787115419330,第一本Docker书[修订版],[澳]James Turnbull著;李兆海，刘斌，巨震 译,4,人民邮电出版社,1538986683650
8342,9787115419330,第一本Docker书[修订版],[澳]James Turnbull著;李兆海，刘斌，巨震 译,4,人民邮电出版社,1538986683650
8600,9787121060748,编程之美,《编程之美》小组 编;,3,电子工业出版社,1538986683650
8601,9787121060748,编程之美,《编程之美》小组 编;,3,电子工业出版社,1538986683650
8602,9787121310928,剑指Offer,何海涛,3,电子工业出版社,1538986683650
8603,9787121310928,剑指Offer,何海涛,3,电子工业出版社,1538986683650
8604,9787121310928,剑指Offer,何海涛,3,电子工业出版社,1538986683650
8605,9787121310928,剑指Offer,何海涛,3,电子工业出版社,1538986683650
8606,9787111474364,人件 原书第3版 ,[美] Tom DeMarco;[美] Timothy Lister,3,机械工业出版社,1538986683650
8607,9787111474364,人件 原书第3版 ,[美] Tom DeMarco;[美] Timothy Lister,3,机械工业出版社,1538986683650
8608,9787302223405,用户故事与敏捷方法,Mike Cohn,3,清华大学出版社,1538986683650
8609,9787302223405,用户故事与敏捷方法,Mike Cohn,3,清华大学出版社,1538986683650
8610,9787302373582,反入侵的艺术——黑客入侵背后的真实故事,[美] 米特尼克[Mitnick, K. D.];[美] 西蒙[Simon, W. L.];,3,清华大学出版社,1538986683650
8611,9787302373582,反入侵的艺术——黑客入侵背后的真实故事,[美] 米特尼克[Mitnick, K. D.];[美] 西蒙[Simon, W. L.];,3,清华大学出版社,1538986683650
8612,9787115373649,如何变得有思想,阮一峰,3,人民邮电出版社,1538986683650
8613,9787115373649,如何变得有思想,阮一峰,3,人民邮电出版社,1538986683650
8614,9787115249494,黑客与画家,[美] Paul Graham,3,人民邮电出版社,1538986683650
8615,9787115249494,黑客与画家,[美] Paul Graham,3,人民邮电出版社,1538986683650
8616,9787115403650,凤凰项目,基恩·金 [Gene Kim];凯文·贝尔 [Kevin Behr];乔治·斯帕福德 [George Spafford],3,人民邮电出版社,1538986683650
8617,9787115403650,凤凰项目,基恩·金 [Gene Kim];凯文·贝尔 [Kevin Behr];乔治·斯帕福德 [George Spafford],3,人民邮电出版社,1538986683650
8618,9787115371072,程序员必读之软件架构,[英] Simon Brown,3,人民邮电出版社,1538986683650
